Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Taurean Waller-Prince,,2,1.5,1.1,NA,NA
Thon Maker,93.0,2,1.5,1.3,NA,NA
Cliff Pondexter,89.7,2.2,1.5,1,NA,NA
Charles Pittman,86.9,1.7,1.5,0.9,0.1,NA
Russ Schoene,85.1,1.8,1.7,1.3,-0.2,NA
Jan Veselý,84.7,1.7,1.6,0.7,NA,NA
Derrick Brown,84.3,2.3,1.3,1,NA,NA
Bob Brannum,81.3,2,1.6,1.1,0.8,0
Terry Driscoll,80.7,1.7,1.7,1.5,0.3,0
Donnell Harvey,80.3,2,1.8,0.7,0.2,0.1
Keith Lee,79.7,1.9,1.1,0.8,NA,NA
