Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Blair Rasmussen,,5.2,4.2,3.3,3,1.8,1.7,0,-0.1
Oliver Miller,90.8,5.3,3.8,3.4,3.1,1.8,1.6,0.9,0
Dewayne Dedmon,87.5,5.2,4,3.7,2.4,1.7,0.6,NA,NA
John Henson,87.5,4.9,3.6,3.3,2.7,2.3,1.9,0.6,NA
Nenad Krstić,86.8,5.4,4.4,4.2,4,1.9,1.7,-0.1,NA
Jason Collins,85.2,4.9,4.7,3.9,3,2,0.6,0.1,-0.2
Randy Breuer,84.1,5.1,4.5,3,2.4,2,1,0.9,0.3
JaVale McGee,82.9,5.3,4.9,4.1,2.1,2,1.1,0.4,-0.1
Randy Denton,82.7,5.5,4.3,3.9,3.1,3,0.4,NA,NA
Kevin Kunnert,82.7,5.1,4.8,4.1,2.6,2.3,1.9,1,0.2
Ömer Aşık,82.6,5.5,5,2.7,2.6,2.4,1.7,1,-0.1
