Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Brandon Roy,,13.5,9.1,8,4.8,2.1,0,NA,NA,NA,NA,NA
Darel Carrier,77.2,8.7,8,7.8,4.9,0.9,0.2,NA,NA,NA,NA,NA
Isaiah Thomas,76.9,12.5,9.7,7.7,6.1,5,4.3,0.2,-0.3,NA,NA,NA
Glen Combs,72.7,8.7,8.6,6.7,5.1,2.7,2.5,0,NA,NA,NA,NA
Derrick Rose,72.5,13.1,6,6,4.9,3,3,1.2,0.4,-0.2,-0.2,NA
Gilbert Arenas,72.4,13.6,11.5,10.8,6.5,2.7,2.6,1.8,0.6,0.5,0.4,0.2
Doug Collins,70.9,10,7.7,7.6,6.2,4.2,1.9,0.7,-0.3,NA,NA,NA
John Logan,70.5,9.2,8.3,5.2,4.3,1,NA,NA,NA,NA,NA,NA
Mike Riordan,70.5,11.1,7,6.1,3.8,2.1,1.7,1.7,-0.1,-0.1,NA,NA
Reggie Lewis,67.5,9.1,8.3,7.5,6.9,6.7,0.4,NA,NA,NA,NA,NA
Phil Chenier,67.3,8.8,8.8,7.4,5.8,5.5,1.8,1.4,0,0,-0.1,NA
