Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Dexter Pittman,,0.6,0,-0.1,-0.1
Greg Kite,59.6,0.7,0.1,0.1,0
Paul Ruffner,42.5,0.9,0.1,0,0
Kyrylo Fesenko,39.2,0.6,0.3,0,-0.1
George Zídek,39.2,0.6,0.3,0,NA
Mike Peplowski,36.6,0.9,0.1,0,NA
Chris Welp,34.0,0.7,0.3,0,NA
Oleksiy Pecherov,29.5,0.5,0.1,0,NA
Jeremy Tyler,23.3,0.5,-0.1,-0.2,NA
Luke Witte,22.1,1,0.1,0.1,NA
Jabari Smith,16.1,0.7,0.5,0.2,0
