Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Dexter Pittman,,0.6,0,-0.1,-0.1,NA
George Zídek,39.2,0.6,0.3,0,NA,NA
Mike Peplowski,36.6,0.9,0.1,0,NA,NA
Paul Ruffner,36.6,0.9,0.1,0,0,0
Chris Welp,34.0,0.7,0.3,0,NA,NA
Oleksiy Pecherov,29.5,0.5,0.1,0,NA,NA
Jeremy Tyler,23.3,0.5,-0.1,-0.2,NA,NA
Luke Witte,22.1,1,0.1,0.1,NA,NA
Jabari Smith,16.1,0.7,0.5,0.2,0,NA
Alan Ogg,13.3,0.5,0.3,0,NA,NA
Wallace Bryant,13.2,1.3,0,0,NA,NA
