Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Scott Skiles,,8,7,4.5,4.4,3.2,2,1.3,0.3,0.1,-0.2,NA
Ronnie Brewer,89.7,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0,NA,NA,NA
Ben Gordon,88.6,8.6,6.9,5.1,4.4,3.5,2.1,1.7,1.7,0.3,-0.3,-0.6
Johnny Moore,87.4,7.2,6.6,5.8,3.8,3.2,2.1,1.2,0.3,-0.1,NA,NA
Flynn Robinson,87.1,9.3,6.7,4.9,3.6,3.3,2.2,1.3,1.2,NA,NA,NA
Voshon Lenard,85.7,7.1,6.8,4,3.5,3,2.4,1.7,0.9,0.3,0.1,-0.1
Micheal Ray Richardson,85.5,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA,NA,NA
Fred Scolari,84.2,8.5,5.6,5.4,4.5,3.1,2.7,1.2,-0.7,NA,NA,NA
Bill Melchionni,84.0,8.4,6.5,4.8,3.3,1.8,1.6,1.5,1.1,-0.1,NA,NA
Chuck Williams,83.7,10,6.1,4.7,3.8,3.2,3,1.3,0.6,NA,NA,NA
Butch Beard,83.6,7.6,5.9,5.6,4.4,3.7,2.2,2,1.5,0,NA,NA
