Season,Team,Lg,Salary
1987-88,Indiana Pacers,NBA,"$172,000"
1988-89,Indiana Pacers,NBA,"$192,000"
1990-91,Orlando Magic,NBA,"$408,000"
1991-92,Orlando Magic,NBA,"$1,925,000"
1992-93,Orlando Magic,NBA,"$1,348,000"
1993-94,Orlando Magic,NBA,"$1,722,000"
1994-95,Washington Bullets,NBA,"$2,125,000"
Career,(may be incomplete),,"$7,892,000"
