Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1948-49,27,ROC,BAA,,60,NA,NA,0.475,0.477,NA,NA,NA,NA,NA,6,0.9,7,NA
1949-50,28,ROC,NBA,,67,NA,NA,0.515,0.572,NA,NA,NA,NA,NA,8.6,1.9,10.5,NA
1950-51,29,ROC,NBA,,68,NA,NA,0.492,0.435,NA,NA,NA,NA,NA,5.6,1.3,6.9,NA
1951-52,30,ROC,NBA,SG,66,2498,19.9,0.541,0.54,NA,NA,NA,NA,NA,9.7,1.6,11.4,0.218
1952-53,31,ROC,NBA,SG,70,2577,17.2,0.475,0.546,NA,NA,NA,NA,NA,5.2,2.7,7.9,0.147
1953-54,32,ROC,NBA,SG,72,2538,17.8,0.468,0.513,NA,NA,NA,NA,NA,5.1,4,9.1,0.172
1954-55,33,ROC,NBA,SG,72,2376,16,0.478,0.456,NA,NA,NA,NA,NA,4,1.4,5.4,0.109
1955-56,34,ROC,NBA,PG,72,1980,14,0.463,0.553,NA,NA,NA,NA,NA,2.3,2.5,4.8,0.117
1956-57,35,ROC,NBA,SG,21,159,20.5,0.592,0.939,NA,NA,NA,NA,NA,0.8,0.2,1,0.3
Career,NA,,TOT,,568,12128,17.2,0.489,0.516,NA,NA,NA,NA,NA,47.3,16.6,63.9,0.156
,NA,,NBA,,508,12128,17.2,0.491,0.52,NA,NA,NA,NA,NA,41.3,15.6,56.9,0.156
,NA,,BAA,,60,NA,NA,0.475,0.477,NA,NA,NA,NA,NA,6,0.9,7,NA
