Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Bobby Wanzer,,11.4,10.5,9.1,7.9,7,6.9,5.4,4.8,1
Jeff Hornacek,94.1,11.6,10.1,9.7,8.7,7.7,6.9,6.3,5,1.2
Stephon Marbury,93.3,11.7,9.6,9.1,7.8,7.4,7.1,5.3,5.3,3.7
Deron Williams,92.7,11.3,10.9,10.3,8.4,7.3,7.2,5.4,4.1,2.8
Archie Clark,92.1,11.4,11,8.1,7.9,6.2,6.2,5.6,4,2.7
Gus Williams,91.4,11.6,10.2,8.5,8.3,7.7,5.9,5.1,4.2,3.6
Steve Smith,91.3,10.4,10.2,9.1,8.1,7.9,7.8,4.4,3.5,1.5
Derek Harper,91.1,9.9,9.4,9.1,8,7.6,6.2,5.4,3.5,1.3
Dick Van Arsdale,91.1,10.4,10.2,9,8.7,7,5.6,5.2,3.8,2.6
Allen Iverson,90.2,11.8,9.2,9,9,7.2,6.9,6.9,4.1,2.8
Jason Terry,90.1,10.8,9.6,8.6,8.6,8.5,7.4,6.5,5.1,1.9
