Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,27,ROC,BAA,,60,NA,NA,NA,NA,0.379,NA,NA,0.823,NA,NA,NA,NA
1949-50,28,ROC,NBA,,67,NA,NA,NA,NA,0.414,NA,NA,0.806,NA,NA,NA,NA
1950-51,29,ROC,NBA,,68,NA,NA,NA,NA,0.401,NA,NA,0.85,NA,NA,NA,NA
1951-52,30,ROC,NBA,SG,66,NA,2498,4.7,11.1,0.425,5.4,6,0.904,4.8,3.8,2.9,14.9
1952-53,31,ROC,NBA,SG,70,NA,2577,4.4,12.1,0.367,5.4,6.6,0.812,4.9,3.5,2.9,14.2
1953-54,32,ROC,NBA,SG,72,NA,2538,4.6,11.8,0.386,4.5,6.1,0.734,5.6,3.6,2.4,13.6
1954-55,33,ROC,NBA,SG,72,NA,2376,4.9,12.4,0.395,4.5,5.7,0.786,5.7,3.7,2.5,14.3
1955-56,34,ROC,NBA,PG,72,NA,1980,4.5,11.8,0.376,4.7,6.5,0.719,4.9,4.1,2.7,13.6
1956-57,35,ROC,NBA,SG,21,NA,159,5.2,11.1,0.469,8.2,10.4,0.783,5.7,2,4.5,18.6
Career,NA,,TOT,,568,NA,12128,4.6,11.9,0.393,4.9,6.2,0.802,5.2,3.7,2.7,14.2
,NA,,NBA,,508,NA,12128,4.6,11.9,0.395,4.9,6.2,0.801,5.2,3.7,2.7,14.2
,NA,,BAA,,60,NA,NA,NA,NA,0.379,NA,NA,0.823,NA,NA,NA,NA
