Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Bobby Wanzer,,11.4,10.5,9.1,7.9,7,6.9,5.4,4.8,1,NA,NA,NA,NA
Archie Clark,90.4,11.4,11,8.1,7.9,6.2,6.2,5.6,4,2.7,1.7,NA,NA,NA
Jeff Mullins,88.9,10,9.9,8.3,8.2,6.8,5.7,5.6,4.5,2.3,0.9,0.8,-0.3,NA
Gus Williams,88.6,11.6,10.2,8.5,8.3,7.7,5.9,5.1,4.2,3.6,2.8,0.1,NA,NA
Kyrie Irving,88.3,10.4,9.1,8.9,8.9,6.7,5.3,5,4.1,NA,NA,NA,NA,NA
James Silas,87.0,13.1,9.8,7.9,7.4,7,5.7,5.5,2.4,0.7,0.6,NA,NA,NA
Donnie Freeman,86.2,9.9,9.7,8.9,7.6,7.3,5.1,3.7,3.4,2.4,NA,NA,NA,NA
Michael Redd,85.7,10.8,9.7,8,6.2,6.1,5.8,4.6,3.2,0.8,0.6,0.1,-0.1,NA
Mookie Blaylock,84.8,12.5,10.2,9.4,9,7,5.6,4.9,4.7,3.5,3.3,2.1,-0.1,-0.3
Mark Price,84.7,11.3,10.1,10,9.8,9.1,7.8,4.2,4,2,1.7,1.1,0,NA
Deron Williams,84.4,11.3,10.9,10.3,8.4,7.3,7.2,5.4,4.1,3.7,3.6,2.8,2.4,NA
