Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Dave Popson,,0,0,-0.1,NA
Brian Evans,-64.0,1.5,0.1,0.1,NA
Kaniel Dickens,-69.6,0,0,0,NA
Mouhamed Sene,-73.5,0.2,0.2,0,NA
Maciej Lampe,-76.6,0.1,-0.1,-0.2,NA
Mark Randall,-85.3,0.5,0.3,0.2,0
Alando Tucker,-87.8,0.2,0.1,0,NA
Cedric Simmons,-88.1,0.3,0,-0.2,NA
J.J. Anderson,-89.6,2.3,0.2,0.1,NA
Jackie Robinson,-90.0,0.2,0.1,0,NA
Gene James,-90.9,0.5,0.3,0.1,NA
