Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Darvin Ham,,1.7,1.2,0.9,0.9,0.9,0.3,0.1,-0.4
Lance Thomas,86.1,1.7,1.2,1.2,0.9,0.9,0.1,-0.1,-0.4
Brian Scalabrine,81.3,1.7,1.4,1.1,1,0.9,0.6,0.3,-0.1
John Wallace,79.9,1.6,1.5,1,1,0.7,0.3,0.3,NA
Charles Davis,76.9,2.1,1.5,1,0.9,0.5,0.3,-0.2,-0.3
Luke Babbitt,74.4,1.8,1.6,1.1,0.9,0.7,0.7,0.7,-0.4
Major Jones,72.9,1.3,1.3,1.2,0.9,0.7,0.1,NA,NA
Anthony Randolph,72.4,1.6,1.5,1.1,0.6,0.5,0.5,NA,NA
Joe Ellis,72.0,1.3,1.3,1.1,1,0.5,0.4,-0.2,-0.3
Reggie Slater,71.4,1.8,1.5,0.8,0.5,0.4,0.2,0.1,-0.1
Scott Hastings,70.4,2.1,1.5,1.3,1,0.8,0.4,0.3,0.1
