Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Mark Randall,,0.5,0.3,0.2,0,NA,NA
Alex Poythress,79.3,0.5,0.3,0.1,NA,NA,NA
Gene James,77.6,0.5,0.3,0.1,NA,NA,NA
Adrian Caldwell,74.8,0.4,0.3,0.2,0.1,0,0
Roderick McDonald,73.7,0.5,0.5,0.2,NA,NA,NA
Troy Williams,71.6,0.5,0.4,0.4,NA,NA,NA
Quincy Lewis,71.0,0.3,0.3,0.1,0,NA,NA
Michael Smith,68.1,0.7,0.3,0.3,NA,NA,NA
Anthony Cook,66.8,0.5,0.4,0.1,0.1,NA,NA
Jamal Sampson,66.3,0.5,0.4,0.2,0.2,0,NA
Christian Wood,64.9,0.8,0.3,0.3,NA,NA,NA
