Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Mark Randall,,0.5,0.3,0.2,0
Adrian Caldwell,83.0,0.4,0.3,0.1,0
Jamal Sampson,82.5,0.5,0.4,0.2,0
Alex Poythress,79.3,0.5,0.3,0.1,NA
Gene James,77.6,0.5,0.3,0.1,NA
Roderick McDonald,73.7,0.5,0.5,0.2,NA
Troy Williams,71.6,0.5,0.4,0.4,NA
Quincy Lewis,71.0,0.3,0.3,0.1,0
Henry James,70.6,0.6,0.3,0.2,0.1
Michael Smith,68.1,0.7,0.3,0.3,NA
Anthony Cook,66.8,0.5,0.4,0.1,0.1
