,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1961-62,22,BOS,NBA,,7,,4,,,,,15
1962-63,23,SFW,NBA,,10,,7,,,,,25
1963-64,24,SFW,NBA,,9,,8,11,,,6,19
1964-65,25,SFW,NBA,,10,15,9,13,7,6,6,29
1965-66,26,SFW,NBA,,8,,5,6,,,,18
Career,,,,,10,,9,,,,,29
4 Seasons,,SFW,NBA,,10,,9,,,,,29
1 Season,,BOS,NBA,,7,,4,,,,,15
