Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Gary Phillips,,1.7,0.3,0.2,0.2,-0.1
Bernard Robinson,78.1,1.7,0.3,0.1,NA,NA
Kevin Williams,73.4,1.9,0.6,0.1,0.1,-0.1
Emanual Davis,72.5,1.8,0.5,0.3,0.3,-0.3
Felipe López,71.7,1.9,0.5,0.4,0.3,NA
Jannero Pargo,71.1,2,0.2,0.1,0.1,-0.1
Randy Livingston,70.9,1.5,0.3,0.1,0,0
Treveon Graham,70.3,1.8,0.5,0.4,NA,NA
Stephen Graham,70.2,1.6,0.4,0,0,-0.1
Bubbles Hawkins,68.7,1.9,0.6,0.3,0.1,NA
John Jenkins,67.4,1.7,0.9,0.2,0,-0.1
