Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Gary Phillips,,1.7,0.3,0.2,0.2,-0.1,NA
Bernard Robinson,78.1,1.7,0.3,0.1,NA,NA,NA
Kevin Williams,73.4,1.9,0.6,0.1,0.1,-0.1,NA
Felipe López,71.7,1.9,0.5,0.4,0.3,NA,NA
Treveon Graham,70.3,1.8,0.5,0.4,NA,NA,NA
Emanual Davis,68.8,1.8,0.5,0.3,0.3,-0.1,-0.3
Bubbles Hawkins,68.7,1.9,0.6,0.3,0.1,NA,NA
John Jenkins,66.3,1.7,0.9,0.2,0.2,0,-0.1
Patrick McCaw,65.5,1.7,0.6,0.5,NA,NA,NA
Mike Flynn,64.9,1.7,0.8,0.3,NA,NA,NA
Kedrick Brown,64.5,2,0.5,0.4,0.1,NA,NA
