Season,Team,Lg,Salary
1985-86,Detroit Pistons,NBA,"$170,000"
1986-87,Detroit Pistons,NBA,"$120,000"
1987-88,Detroit Pistons,NBA,"$400,000"
1988-89,Detroit Pistons,NBA,"$400,000"
1989-90,Detroit Pistons,NBA,"$1,330,000"
1990-91,Detroit Pistons,NBA,"$1,035,000"
1991-92,Detroit Pistons,NBA,"$1,295,000"
1992-93,Detroit Pistons,NBA,"$1,339,000"
1993-94,Detroit Pistons,NBA,"$1,280,000"
1994-95,Detroit Pistons,NBA,"$1,096,700"
1995-96,Detroit Pistons,NBA,"$6,881,000"
1996-97,Detroit Pistons,NBA,"$3,075,000"
1997-98,Detroit Pistons,NBA,"$3,000,000"
1998-99,Detroit Pistons,NBA,"$1,000,000"
1999-00,Detroit Pistons,NBA,"$510,000"
Career,(may be incomplete),,"$22,931,700"
