Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Derek Smith,,8,2.9,2.6,1.6,1.5,0.9,0.8,0,0
Bob Verga,77.6,8.2,3.8,3.3,2.8,1.5,0.1,NA,NA,NA
Brian Shaw,76.5,5.9,3.2,2.2,1.8,1.3,1.1,1,0.6,0.1
Ray Lumpp,74.3,6.7,3.3,2,1.9,1.7,NA,NA,NA,NA
Malik Sealy,72.8,5.5,3.2,3.2,2.1,1.2,1.1,0.6,0.2,NA
Charles Beasley,72.4,8,4.1,2.6,0.7,NA,NA,NA,NA,NA
Damon Jones,72.4,8.7,3.9,3.4,2.4,1.9,1.8,1.5,0.7,0.7
Scott Burrell,72.0,5.6,3.7,3.2,1.4,1.1,0.8,0.5,0.1,NA
Ron Brewer,69.9,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1,NA
Gerald Green,69.9,6.1,1.9,1.7,1.6,1.3,1.2,0.5,0,-0.4
Aaron Brooks,69.7,5.5,3.6,3.3,2.2,1.4,1.1,0.9,0.8,0.3
