Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Derek Smith,,8,2.9,2.6,1.6,1.5,0.9,0.8,0,0,NA
Bob Verga,77.6,8.2,3.8,3.3,2.8,1.5,0.1,NA,NA,NA,NA
Ray Lumpp,74.3,6.7,3.3,2,1.9,1.7,NA,NA,NA,NA,NA
Malik Sealy,72.8,5.5,3.2,3.2,2.1,1.2,1.1,0.6,0.2,NA,NA
Charles Beasley,72.4,8,4.1,2.6,0.7,NA,NA,NA,NA,NA,NA
Scott Burrell,72.0,5.6,3.7,3.2,1.4,1.1,0.8,0.5,0.1,NA,NA
Ron Brewer,69.9,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1,NA,NA
Ted McClain,69.7,7,4.2,4.1,2.7,2,0.8,0.5,-0.1,NA,NA
Randy Wittman,69.6,5.9,4.2,3.5,1.6,1.2,0.7,0,0,0,NA
Aaron Brooks,69.3,5.5,3.6,3.3,2.2,1.4,1.1,0.9,0.8,0.3,0.1
Tim Hardaway,69.2,4.8,3.1,2.6,1.9,1.8,0.8,NA,NA,NA,NA
