Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jerome Whitehead,,5.3,3.6,2.1,1.6,1.5,1.2,0.4,0.3,0.2,0.2,0.1
Dan Gadzuric,88.5,5.2,3.7,2.5,1.8,1.2,0.8,0.5,0.1,0.1,0,NA
Zaid Abdul-Aziz,84.0,6.5,3.7,2,1.9,1.8,1,0.6,0.3,0.1,-0.3,NA
Jordan Hill,81.0,4.4,3.9,2.2,1.8,1.4,1.4,1.4,0,NA,NA,NA
Rick Robey,79.0,5.5,3.7,3.1,1.9,1.4,0.9,-0.2,-0.6,NA,NA,NA
Felton Spencer,78.3,5.6,4.7,2.4,2,2,1.3,1.1,0.9,0.5,0.4,0.3
Mike Brown,78.0,3.7,3.7,2.4,1.5,1.5,1.4,1,0.7,0.2,0.1,-0.4
Lee Davis,77.9,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1,NA,NA,NA
Kurt Nimphius,76.7,4.8,3.3,3.1,2.9,1.5,1,0.7,0.1,NA,NA,NA
Marc Jackson,76.2,4.6,2.6,2,1.3,1.2,0.7,0.6,NA,NA,NA,NA
Chris Kaman,76.0,6.1,3.6,2.9,2.4,2.1,1.6,0.8,0.7,0.6,0.5,0
