Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Patrick O'Bryant,,0.3,0.2,0,0,NA
Paul Davis,70.8,0.2,0.2,0,0,NA
Matt Fish,65.5,0.4,0.2,0,NA,NA
Tom Riker,65.2,0.2,0.2,0,NA,NA
Chris Engler,55.8,0.3,0.2,0.2,0,0
Alan Ogg,55.8,0.5,0.3,0,NA,NA
Joe Cooper,45.3,0.2,0.1,0,NA,NA
Oleksiy Pecherov,42.8,0.5,0.1,0,NA,NA
George Zídek,42.8,0.6,0.3,0,NA,NA
Mouhamed Sene,41.6,0.2,0.2,0,NA,NA
Arinze Onuaku,31.9,0.3,0,0,NA,NA
