Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Keith Jennings,,4.2,2.9,0.6,NA
Earl Tatum,91.7,4.4,2.6,0.7,0
Pat Connaughton,87.6,3.9,2.5,0.6,-0.2
Curly Armstrong,86.7,3.5,3.1,0.6,NA
Ron Sobie,83.2,3.6,2.6,0.9,0.1
Mel Riebe,82.8,4.2,2.2,0,NA
Billy Ray Bates,80.2,3.6,2.4,0.9,0
Terry Furlow,79.8,3.3,2.8,1.1,0
Mike Barrett,79.3,4.9,2.7,-0.1,NA
Walt Kirk,79.2,5,2.3,0.4,NA
Al Butler,78.9,4.1,2.1,1.1,-0.3
