Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jim Baechtold,,6,3.2,2.6,2.1,0.9
Monk Meineke,92.6,6.1,3.7,2.6,1.8,0.7
Trevor Ariza,92.0,6.1,3.4,2.1,1.8,0.9
Ronald Franz,91.8,5.9,3.7,3.3,2.1,0.9
Michael Kidd-Gilchrist,90.6,5.8,3.8,3.1,2.1,0.6
JaMychal Green,90.3,5.8,2.9,2.6,2.6,0.4
Don Nelson,89.5,5.4,3.3,2.3,2.1,0.4
Kyle Anderson,89.0,6.2,3.5,2.7,2.7,0.3
Scott May,87.6,5.4,3.1,2.4,2.2,-0.1
Tom Boswell,87.1,5.6,3.7,2.7,2.4,0.2
Alan Henderson,87.0,6,4.3,3.1,2,1.3
