,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1952-53,25,BLB,NBA,,9,,12,,,,,30
1953-54,26,NYK,NBA,,9,,10,11,,,,23
1954-55,27,NYK,NBA,,11,,13,15,,,5,33
1955-56,28,NYK,NBA,,11,,13,15,,,6,27
1956-57,29,NYK,NBA,,7,,6,7,,,3,20
Career,,,,,11,,13,,,,,33
4 Seasons,,NYK,NBA,,11,,13,15,,,,33
1 Season,,BLB,NBA,,9,,12,,,,,30
