Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
John Trapp,,3.3,1.2,1.2,0.6,0,NA,NA
Rowland Garrett,84.0,3.1,1.1,0.8,0.5,-0.1,NA,NA
Sam Dekker,83.8,3.1,1.2,1,0,NA,NA,NA
Simmie Hill,82.9,3.1,1.6,1.2,1,NA,NA,NA
Willie Reed,82.4,3.6,1.5,1.2,NA,NA,NA,NA
DerMarr Johnson,82.0,3.2,1.7,1.3,0.4,0.1,0,-0.3
Cristiano Felício,81.6,3.4,1.7,1.4,1.2,NA,NA,NA
Sam Young,81.1,2.9,1.2,0.9,0.2,NA,NA,NA
Darius Miller,79.4,3,1.6,0.8,0.5,-0.1,NA,NA
Mike Farmer,78.4,3.2,1.8,1.3,0.1,0.1,-0.1,-0.1
Jeff Lamp,78.4,3,1,0.7,0.6,0,-0.1,NA
