Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1968-69,23,SDR,NBA,SF,25,142,10.9,0.415,NA,0.363,NA,NA,NA,4.8,NA,NA,NA,NA,NA,-0.2,0.2,0,0.007
1969-70,24,SDR,NBA,SF,70,1025,10.6,0.461,NA,0.24,NA,NA,NA,6,NA,NA,NA,NA,NA,-0.3,1.5,1.2,0.057
1970-71,25,SDR,NBA,SF,82,2080,10.5,0.463,NA,0.245,NA,NA,10.7,8.9,NA,NA,NA,NA,NA,0.1,3.2,3.3,0.077
1971-72,26,LAL,NBA,SF,58,759,11,0.475,NA,0.232,NA,NA,10.5,6.8,NA,NA,NA,NA,NA,0.2,1.1,1.2,0.078
1972-73,27,TOT,TOT,SF,68,1231,10.8,0.454,0.004,0.281,7.9,13.8,10.2,8.1,NA,NA,15,18.8,NA,-0.4,1,0.6,0.022
1972-73,27,TOT,NBA,SF,44,889,12.3,0.456,NA,0.29,NA,NA,10,8,NA,NA,NA,NA,NA,-0.1,0.5,0.4,0.021
1972-73,27,LAL,NBA,SF,5,35,9.5,0.396,NA,0.833,NA,NA,18.2,6.6,NA,NA,NA,NA,NA,-0.1,0.1,0,0.009
1972-73,27,PHI,NBA,SF,39,854,12.4,0.458,NA,0.275,NA,NA,9.7,8.1,NA,NA,NA,NA,NA,0,0.4,0.4,0.021
1972-73,27,DNR,ABA,SF,24,342,6.9,0.447,0.016,0.25,7.9,13.8,10.8,8.4,NA,NA,15,18.8,NA,-0.3,0.5,0.2,0.025
Career,NA,,TOT,,303,5237,10.7,0.46,0.001,0.256,7.9,13.8,10.5,7.7,NA,NA,15,18.8,NA,-0.6,7,6.4,0.058
,NA,,NBA,,279,4895,11,0.461,NA,0.256,NA,NA,10.5,7.7,NA,NA,NA,NA,NA,-0.3,6.5,6.2,0.061
,NA,,ABA,,24,342,6.9,0.447,0.016,0.25,7.9,13.8,10.8,8.4,NA,NA,15,18.8,NA,-0.3,0.5,0.2,0.025
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,SDR,NBA,,177,3247,10.6,0.459,NA,0.251,NA,NA,10.7,7.8,NA,NA,NA,NA,NA,-0.4,5,4.6,0.068
2 seasons,NA,LAL,NBA,,63,794,10.9,0.472,NA,0.255,NA,NA,10.8,6.8,NA,NA,NA,NA,NA,0.1,1.1,1.2,0.075
1 season,NA,PHI,NBA,,39,854,12.4,0.458,NA,0.275,NA,NA,9.7,8.1,NA,NA,NA,NA,NA,0,0.4,0.4,0.021
1 season,NA,DNR,ABA,,24,342,6.9,0.447,0.016,0.25,7.9,13.8,10.8,8.4,NA,NA,15,18.8,NA,-0.3,0.5,0.2,0.025
