Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
John Trapp,,3.3,1.2,1.2,0.6,0
Marty Conlon,86.9,3.1,1.4,1,0.6,0.3
DerMarr Johnson,85.8,3.2,1.7,1.3,0.4,0
Rowland Garrett,84.0,3.1,1.1,0.8,0.5,-0.1
Sam Dekker,83.8,3.1,1.2,1,0,NA
Simmie Hill,82.9,3.1,1.6,1.2,1,NA
Willie Reed,82.4,3.6,1.5,1.2,NA,NA
Barney Cable,82.3,3.3,1.6,0.7,0.4,0.1
Dave Piontek,82.1,3.7,1.4,1.1,0.8,0.5
Lorenzo Williams,82.1,3.1,1.7,1.1,0.4,0.3
Dickey Simpkins,81.7,2.9,1.2,0.7,0.6,0.1
