,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,22,BOS,NBA,,7,,4,8,,,,,,,,15
1967-68,23,SDR,NBA,,10,,6,9,,,,,,,,22
1968-69,24,SDR,NBA,,14,,12,13,,,,,,,,36
1969-70,25,SDR,NBA,,18,,10,11,,,,,,,,42
1970-71,26,POR,NBA,,15,28,16,16,,,14,12,,,6,40
1971-72,27,GSW,NBA,,13,,12,13,,,,,,,,32
1972-73,28,GSW,NBA,,13,,8,10,,,,,,,,30
1973-74,29,GSW,NBA,,14,,10,12,,,,,,,,30
1974-75,30,TOT,NBA,,11,,12,12,,,,,,,,30
1974-75,30,NOJ,NBA,,11,,9,11,,,,,,,,30
1974-75,30,NYK,NBA,,7,15,12,12,,,6,5,,,5,22
1975-76,31,NYK,NBA,,6,,6,6,,,,,,,,18
1976-77,32,PHI,NBA,,5,,3,5,,,,,,,,10
Career,,,,,18,,16,16,,,,,,,,42
3 Seasons,,GSW,NBA,,14,,12,13,,,,,,,,32
3 Seasons,,SDR,NBA,,18,,12,13,,,,,,,,42
2 Seasons,,NYK,NBA,,7,,12,12,,,,,,,,22
1 Season,,POR,NBA,,15,28,16,16,,,14,12,,,6,40
1 Season,,BOS,NBA,,7,,4,8,,,,,,,,15
1 Season,,NOJ,NBA,,11,,9,11,,,,,,,,30
1 Season,,PHI,NBA,,5,,3,5,,,,,,,,10
