Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Jim Barnett,,6.1,5.4,4.8,4.7,4.1,3.7,2.5,1.5,0.3,0.1,0,NA
Bill Keller,90.9,6.1,5.4,4.4,4.1,4,3.6,2.7,NA,NA,NA,NA,NA
John Paxson,89.6,6,5.7,4.8,4.7,4.2,3.3,2.3,2.2,1.9,0.6,0.6,NA
Brandon Jennings,89.2,5.8,5.5,4.2,3.9,3.9,3.3,1.7,1.5,0.1,NA,NA,NA
Austin Carr,88.8,5.9,5.4,5.3,5,3.4,2.9,2.6,2,1,-0.4,NA,NA
Luke Ridnour,88.6,6.2,5.4,4.4,4.3,4,3.4,3.3,2.3,1.2,0.9,0.6,0.1
Mario Chalmers,87.6,5.2,5.2,4.8,4.3,3.8,2.9,2.8,2.7,0.6,NA,NA,NA
Walt Hazzard,87.5,5.4,5.3,5,4.5,3.3,2.5,2.2,1.1,0.6,0.2,NA,NA
Dave Twardzik,87.0,7.5,5.5,5.1,5.1,3.7,3,2.4,1.1,NA,NA,NA,NA
Al Attles,86.1,5.6,5.3,5.2,5.2,3.6,3.5,3.4,1.9,1.7,0.8,0.4,NA
Brian Winters,86.0,6.2,6,5.5,5.1,5,4.2,3.5,2.1,1.1,NA,NA,NA
