,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,22,BOS,NBA,,2,9,2,2,,,2,1,,,2,6
1968-69,24,SDR,NBA,,3,9,4,5,,,1,2,,,1,10
1971-72,27,GSW,NBA,,12,,9,14,,,,,,,,30
1972-73,28,GSW,NBA,,11,24,4,6,,,8,7,,,5,26
1974-75,30,TOT,NBA,,5,8,5,5,,,4,3,,,3,15
1974-75,30,NYK,NBA,,5,8,5,5,,,4,3,,,3,15
Career,,,,,12,,9,14,,,,,,,,30
2 Seasons,,GSW,NBA,,12,,9,14,,,,,,,,30
1 Season,,SDR,NBA,,3,9,4,5,,,1,2,,,1,10
1 Season,,BOS,NBA,,2,9,2,2,,,2,1,,,2,6
1 Season,,NYK,NBA,,5,8,5,5,,,4,3,,,3,15
