Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,29,GSW,NBA,SG,77,NA,1689,9.1,19.7,0.464,4.8,5.9,0.814,2,3.8,5.8,5.5,1.5,0.3,3.8,23.1,NA,NA,101
1974-75,30,TOT,NBA,SG,73,NA,1776,7.2,16.4,0.437,5,6,0.836,1.5,3,4.5,4.4,1.2,0.4,4,19.3,NA,NA,102
1974-75,30,NOJ,NBA,SG,45,NA,1238,7.6,17,0.448,5.5,6.7,0.83,1.6,2.9,4.5,4.9,1.2,0.6,3.9,20.8,NA,NA,102
1974-75,30,NYK,NBA,SG,28,NA,538,6.1,14.9,0.407,3.7,4.3,0.86,1.3,3.1,4.4,3.4,1,0,4.4,15.8,NA,NA,102
1975-76,31,NYK,NBA,SG,71,NA,1026,7.4,16.7,0.442,4,5.1,0.789,2.2,1.8,4,4,1.1,0.1,3.9,18.8,NA,NA,103
1976-77,32,PHI,NBA,SG,16,NA,231,5.4,12.3,0.438,1.9,3.5,0.556,1.3,1.3,2.7,4.4,0.8,0,5.4,12.7,NA,NA,104
Career,NA,,NBA,,237,NA,4722,7.8,17.4,0.435,4.6,5.6,0.797,1.8,3,4.8,4.7,1.2,0.3,4,20.2,NA,NA,102
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NYK,NBA,,99,NA,1564,6.9,16.1,0.431,3.9,4.9,0.811,1.9,2.2,4.1,3.8,1.1,0.1,4.1,17.8,NA,NA,103
3 seasons,NA,GSW,NBA,,77,NA,1689,9.1,19.7,0.445,4.8,5.9,0.831,2,3.8,5.8,5.5,1.5,0.3,3.8,23.1,NA,NA,101
1 season,NA,NOJ,NBA,,45,NA,1238,7.6,17,0.448,5.5,6.7,0.83,1.6,2.9,4.5,4.9,1.2,0.6,3.9,20.8,NA,NA,102
1 season,NA,PHI,NBA,,16,NA,231,5.4,12.3,0.438,1.9,3.5,0.556,1.3,1.3,2.7,4.4,0.8,0,5.4,12.7,NA,NA,104
1 season,NA,BOS,NBA,,0,NA,0,NA,NA,0.37,NA,NA,0.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,SDR,NBA,,0,NA,0,NA,NA,0.43,NA,NA,0.763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,POR,NBA,,0,NA,0,NA,NA,0.436,NA,NA,0.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
