Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Terrell Brandon,,12.7,10.8,8.6,8.5,5.6,5.1,3.9,3.7,3.2,2.9,0.9
Mookie Blaylock,89.8,12.5,10.2,9.4,9,7,5.6,4.9,4.7,3.3,2.1,-0.3
Gus Williams,89.2,11.6,10.2,8.5,8.3,7.7,5.9,5.1,4.2,3.6,2.8,0.1
Archie Clark,88.4,11.4,11,8.1,7.9,6.2,6.2,5.6,4,2.7,1.7,NA
Fat Lever,86.8,10.4,9.7,9.2,8.8,5.2,4.8,4.5,4.4,2.9,1.3,0
DeMar DeRozan,86.7,9.9,9.6,9,8.8,6.3,4.7,4,3.2,2.5,2.3,NA
Kyle Lowry,86.7,11.7,11.6,10.1,7.1,7,5.6,4.9,4.3,3.6,3.4,0.5
Kevin Martin,86.1,10.2,9.5,8.4,7,5.5,5.3,4.7,4.2,3.3,1.9,0.1
Anfernee Hardaway,85.6,14.4,10.7,8.1,7.8,7.1,5,2.9,2.3,2,1.1,0.4
Sam Cassell,85.1,12.1,9.6,9.2,8.6,8.5,8.3,4.7,3.9,3.9,2.2,0.8
Deron Williams,84.6,11.3,10.9,10.3,8.4,7.3,7.2,5.4,4.1,3.7,3.6,2.8
