Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Jack Kerris,,5.9,5.7,4.1,2.1
Cazzie Russell,97.1,5.9,5.2,4.1,2.2
Thaddeus Young,94.9,6.2,5.5,4.5,2.1
Billy Owens,93.0,5.7,5.6,3.2,2.2
Danilo Gallinari,92.0,6.1,5.6,3.9,1
Tyrone Hill,91.6,5.7,4.9,4.5,2.1
Larry Nance,91.4,5.8,4.9,3.5,2.2
Antonio Davis,91.3,6,5.2,5,2
Larry Smith,91.3,6.1,5.2,4,3.1
Marvin Williams,91.2,6.1,5.7,2.8,2.3
Clarence Weatherspoon,91.0,6,5.8,3.6,3.3
