,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1949-50,25,TOT,NBA,,8,,8,11,,,,21
1949-50,25,TRI,NBA,,2,,5,6,,,,7
1949-50,25,FTW,NBA,,8,,8,11,,,,21
1950-51,26,FTW,NBA,,11,,9,13,,,,26
1951-52,27,FTW,NBA,,9,,9,13,,,6,27
1952-53,28,TOT,NBA,,7,,9,,,,,23
1952-53,28,FTW,NBA,,5,,5,9,,,,15
1952-53,28,BLB,NBA,,7,,9,,,,,23
Career,,,,,11,,9,,,,,27
4 Seasons,,FTW,NBA,,11,,9,13,,,,27
1 Season,,BLB,NBA,,7,,9,,,,,23
1 Season,,TRI,NBA,,2,,5,6,,,,7
