,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1949-50,25,TOT,NBA,,4,,8,,,,6,14
1949-50,25,FTW,NBA,,4,,8,,,,6,14
1950-51,26,FTW,NBA,,4,,3,6,,,6,11
1951-52,27,FTW,NBA,,6,,6,10,,,6,17
1952-53,28,TOT,NBA,,2,,3,3,,0,2,7
1952-53,28,BLB,NBA,,2,,3,3,,0,2,7
Career,,,,,6,,8,,,,6,17
3 Seasons,,FTW,NBA,,6,,8,,,,6,17
1 Season,,BLB,NBA,,2,,3,3,,0,2,7
