Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Gus Bailey,,0.5,0.2,0.2,0,0
Archie Goodwin,68.4,0.7,0.2,0.2,0.1,NA
Corey Gaines,65.7,0.6,0.3,0.2,0.1,-0.1
Othyus Jeffers,65.6,0.7,0.1,0.1,NA,NA
Connie Norman,63.3,0.8,0.2,0.2,NA,NA
Lance Blanks,62.9,0.4,0.2,0.1,NA,NA
Jordan McRae,62.3,0.5,0.4,0.2,NA,NA
Clay Johnson,62.2,0.6,0.1,0,NA,NA
Tom Ingelsby,60.5,0.7,0.1,0,NA,NA
Darrin Hancock,59.1,0.5,0.4,0.2,NA,NA
Paul Long,57.8,0.5,0.3,0.2,-0.2,NA
