Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1974-75,23,HOU,NBA,SG,8,NA,116,18,36,0.5,NA,NA,NA,18,36,0.5,0.5,9,10,0.9,6,13,19,16,6,2,NA,12,45
Career,NA,,NBA,,8,NA,116,18,36,0.5,NA,NA,NA,18,36,0.5,0.5,9,10,0.9,6,13,19,16,6,2,NA,12,45
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,HOU,NBA,,8,NA,116,18,36,0.5,NA,NA,NA,18,36,0.5,0.5,9,10,0.9,6,13,19,16,6,2,NA,12,45
