Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,25,SEA,NBA,SF,71,NA,1528,8.6,20,0.431,4.6,5.7,0.806,2.6,3.8,6.4,2.3,1.1,0.5,5.6,21.8,NA,NA,101
1974-75,26,WSB,NBA,SF,59,NA,424,7.9,20.3,0.389,5.1,6.8,0.75,2.8,3.7,6.5,2,1.3,0.3,6.4,20.9,NA,NA,96
1975-76,27,BUF,NBA,SF,72,NA,866,6.6,15.4,0.429,3.9,4.8,0.828,2.2,3.3,5.4,2.5,0.8,0.7,6.8,17.2,NA,NA,102
Career,NA,,NBA,,202,NA,2818,7.9,18.6,0.402,4.5,5.6,0.799,2.5,3.6,6.1,2.3,1,0.5,6.1,20.3,NA,NA,101
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,BUF,NBA,,72,NA,866,6.6,15.4,0.429,3.9,4.8,0.828,2.2,3.3,5.4,2.5,0.8,0.7,6.8,17.2,NA,NA,102
1 season,NA,SEA,NBA,,71,NA,1528,8.6,20,0.431,4.6,5.7,0.806,2.6,3.8,6.4,2.3,1.1,0.5,5.6,21.8,NA,NA,101
1 season,NA,WSB,NBA,,59,NA,424,7.9,20.3,0.389,5.1,6.8,0.75,2.8,3.7,6.5,2,1.3,0.3,6.4,20.9,NA,NA,96
2 seasons,NA,HOU,NBA,,0,NA,0,NA,NA,0.338,NA,NA,0.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,KCO,NBA,,0,NA,0,NA,NA,0.362,NA,NA,0.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
