,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1974-75,26,WSB,NBA,,2,3,2,2,0,1,1,2,,,,4
1975-76,27,BUF,NBA,,2,3,2,2,,,1,1,,,3,6
Career,,,,,2,3,2,2,,,1,2,,,,6
1 Season,,WSB,NBA,,2,3,2,2,0,1,1,2,,,,4
1 Season,,BUF,NBA,,2,3,2,2,,,1,1,,,3,6
