Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Dick Gibbs,,2.1,0.7,0.4,-0.1,-0.6
Billy Schaeffer,70.8,1.9,0.8,0.5,NA,NA
Jim Loscutoff,70.5,2.1,0.9,0.9,0,-0.2
Fred Foster,68.2,2.1,1.1,0.4,-0.2,-0.9
Bernard Thompson,64.9,2.1,0.9,0.2,0.1,0
Bud Olsen,63.8,2.5,0.5,0.4,0.2,-0.3
Ryan Kelly,63.0,2.2,0.7,0.1,0.1,NA
Joe Kopicki,62.9,1.9,0.9,0.7,NA,NA
Bob Nash,62.3,2.1,1.1,0.1,-0.2,-0.7
Bill Bunting,61.6,2,0.7,0,NA,NA
Joey Dorsey,61.2,1.9,0.8,0.1,0,NA
