Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1974-75,26,WSB,NBA,SF,6,17,14.3,0.368,0.2,0,5.7,3,17.3,8.1,0,NA,-0.1,0,0,-0.026,NA,-2.4,3.9,1.4,0
1975-76,27,BUF,NBA,SF,5,23,6.8,0.506,0.222,0,4.5,2.3,12.8,0,0,NA,0,0,0,-0.069,NA,-8.3,-1.8,-10.1,0
Career,NA,,NBA,,11,40,10,0.434,0.211,0,5,2.6,14.7,3.4,0,NA,-0.1,0,0,-0.051,NA,-5.8,0.6,-5.2,0
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,WSB,NBA,,6,17,14.3,0.368,0.2,0,5.7,3,17.3,8.1,0,NA,-0.1,0,0,-0.026,NA,-2.4,3.9,1.4,0
1 season,NA,BUF,NBA,,5,23,6.8,0.506,0.222,0,4.5,2.3,12.8,0,0,NA,0,0,0,-0.069,NA,-8.3,-1.8,-10.1,0
