Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Bill Martin,,0.6,-0.1,-0.2
Joby Wright,33.8,0.6,0,-0.1
Samardo Samuels,30.5,0.7,0,-0.1
Linton Townes,29.6,0.7,0,-0.1
Okaro White,13.1,0.6,0.2,0
Alton Ford,10.2,0.8,0.1,-0.1
Brian Quinnett,4.8,0.8,0.1,-0.1
Scott English,4.7,1,0,-0.2
Chris King,-6.0,1.1,0,-0.1
Terence Morris,-6.4,0.9,0.2,-0.1
Howie Jolliff,-8.8,1.2,-0.2,-0.3
