,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1963-64,23,NYK,NBA,,6,,,,,,5,9,,,,,,,16
1964-65,24,NYK,NBA,,3,,,,,,2,4,,,,,,,7
1966-67,26,STL,NBA,,3,,,,,,1,3,,,,,,,7
1967-68,27,DNR,ABA,,9,,1,,,,10,12,,,,,,,22
1968-69,28,TOT,ABA,,9,,0,,,,7,11,,,,,,,21
1968-69,28,HSM,ABA,,6,,0,,,,3,4,,,,,,,15
1968-69,28,MNP,ABA,,3,,0,,,,4,7,,,,,,,8
1968-69,28,NYA,ABA,,9,,0,,,,7,11,,,,,,,21
Career,,,TOT,,9,,,,,,10,12,,,,,,,22
,,,NBA,,6,,,,,,5,9,,,,,,,16
,,,ABA,,9,,1,,,,10,12,,,,,,,22
,,,,,,,,,,,,,,,,,,,
2 Seasons,,NYK,NBA,,6,,,,,,5,9,,,,,,,16
1 Season,,DNR,ABA,,9,,1,,,,10,12,,,,,,,22
1 Season,,NYA,ABA,,9,,0,,,,7,11,,,,,,,21
1 Season,,STL,NBA,,3,,,,,,1,3,,,,,,,7
1 Season,,MNP,ABA,,3,,0,,,,4,7,,,,,,,8
1 Season,,HSM,ABA,,6,,0,,,,3,4,,,,,,,15
