Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1963-64,23,NYK,NBA,C,59,NA,988,3.7,9,0.413,NA,NA,NA,3.7,9,0.413,3,4.8,0.614,NA,NA,12.1,1.3,NA,6.7,10.4
1964-65,24,NYK,NBA,C,24,NA,153,3.1,7.5,0.406,NA,NA,NA,3.1,7.5,0.406,1.9,3.3,0.571,NA,NA,13.6,2.8,NA,8.7,8
1966-67,26,STL,NBA,C,17,NA,129,3.6,8.7,0.419,NA,NA,NA,3.6,8.7,0.419,1.4,3.6,0.385,NA,NA,10,2.2,NA,9.8,8.7
1967-68,27,DNR,ABA,C,70,NA,1588,3.6,8.1,0.451,0.1,0.2,0.4,3.6,7.9,0.452,2.9,4.7,0.621,NA,NA,11.1,1.5,3.2,6.1,10.3
1968-69,28,TOT,ABA,C,53,NA,1419,4.8,10.4,0.468,0,0.1,0,4.8,10.3,0.47,3.2,4.8,0.661,3.7,8.3,12,3,4.4,5.7,12.9
1968-69,28,HSM,ABA,C,4,NA,80,6.3,12.6,0.5,0,0,NA,6.3,12.6,0.5,2.3,2.7,0.833,3.6,9.9,13.5,2.3,3.6,6.8,14.9
1968-69,28,MNP,ABA,C,9,NA,83,5.2,11.3,0.462,0,0,NA,5.2,11.3,0.462,4.3,9.1,0.476,6.9,6.5,13.4,2.6,3.5,9.1,14.7
1968-69,28,NYA,ABA,C,40,NA,1256,4.7,10.1,0.466,0,0.1,0,4.7,10.1,0.469,3.2,4.6,0.679,3.5,8.3,11.8,3,4.5,5.4,12.6
Career,NA,,TOT,,223,NA,4277,4,9,0.447,0,0.1,0.333,4,8.9,0.448,2.9,4.7,0.626,3.7,8.3,11.7,2,3.7,6.3,11
,NA,,ABA,,123,NA,3007,4.2,9.2,0.46,0,0.1,0.333,4.2,9,0.462,3,4.7,0.641,3.7,8.3,11.5,2.2,3.7,5.9,11.5
,NA,,NBA,,100,NA,1270,3.6,8.8,0.413,NA,NA,NA,3.6,8.8,0.413,2.7,4.5,0.591,NA,NA,12,1.6,NA,7.3,9.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NYK,NBA,,83,NA,1141,3.6,8.8,0.412,NA,NA,NA,3.6,8.8,0.412,2.8,4.6,0.61,NA,NA,12.3,1.5,NA,7,10.1
1 season,NA,DNR,ABA,,70,NA,1588,3.6,8.1,0.451,0.1,0.2,0.4,3.6,7.9,0.452,2.9,4.7,0.621,NA,NA,11.1,1.5,3.2,6.1,10.3
1 season,NA,NYA,ABA,,40,NA,1256,4.7,10.1,0.466,0,0.1,0,4.7,10.1,0.469,3.2,4.6,0.679,3.5,8.3,11.8,3,4.5,5.4,12.6
1 season,NA,STL,NBA,,17,NA,129,3.6,8.7,0.419,NA,NA,NA,3.6,8.7,0.419,1.4,3.6,0.385,NA,NA,10,2.2,NA,9.8,8.7
1 season,NA,MNP,ABA,,9,NA,83,5.2,11.3,0.462,0,0,NA,5.2,11.3,0.462,4.3,9.1,0.476,6.9,6.5,13.4,2.6,3.5,9.1,14.7
1 season,NA,HSM,ABA,,4,NA,80,6.3,12.6,0.5,0,0,NA,6.3,12.6,0.5,2.3,2.7,0.833,3.6,9.9,13.5,2.3,3.6,6.8,14.9
