Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Tom Hoover,,4.4,2.6,0.4,0.1,0,NA,NA,NA
Greg Oden,88.8,4.6,2.2,0.5,NA,NA,NA,NA,NA
Mike Sojourner,87.6,4.7,2.7,0.9,NA,NA,NA,NA,NA
Jamie Feick,81.8,4.8,2.2,0.9,0.2,0.2,NA,NA,NA
Ed Johnson,78.7,5.1,2.4,1,NA,NA,NA,NA,NA
Craig Raymond,74.0,4.7,1.7,1,0,0,NA,NA,NA
Rich Niemann,72.7,4.4,1.4,1.2,0.2,NA,NA,NA,NA
Lee Knorek,72.2,5.1,2.5,1.7,0,NA,NA,NA,NA
Lucas Nogueira,68.8,3.7,1.6,0.7,0,NA,NA,NA,NA
Willy Hernangómez,67.6,3.4,2.6,1.8,NA,NA,NA,NA,NA
Primož Brezec,66.0,4.9,4.6,0.7,0.3,0.2,0.1,0.1,0
