Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Tom Hoover,,4.4,2.6,0.4,0.1,0
Greg Oden,88.8,4.6,2.2,0.5,NA,NA
Mike Sojourner,87.6,4.7,2.7,0.9,NA,NA
Joel Przybilla,83.3,4.7,1.9,0.6,0.1,0.1
Jamie Feick,81.8,4.8,2.2,0.9,0.2,0.2
Isaac Austin,79.1,4,3.6,0.3,0.3,0.2
Ed Johnson,78.7,5.1,2.4,1,NA,NA
Jerome Whitehead,78.2,5.3,2.1,0.2,0.2,0.1
Nazr Mohammed,78.1,3.3,2.5,0.4,0,-0.1
Coby Dietrick,75.7,4.5,4.4,0.3,0.1,0
Craig Raymond,74.0,4.7,1.7,1,0,0
