Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jon Koncak,,3.8,3.7,3.7,3.7,3.1,2.5,2.3,2,1.8,1.4,1.1
Joe Meriweather,85.3,4.8,3.8,3.8,2.9,2.6,2.6,2.3,2.2,1.8,0.8,NA
Marreese Speights,85.3,4.2,4,3.8,2.8,2.7,2.1,2.1,1.8,1.7,0.6,NA
George Johnson,84.7,5,4.5,3.6,3.5,3.4,2.6,2.6,2.5,2,1,0.3
Wayne Cooper,83.8,5.1,5,4.1,3.5,2.9,2.9,2.8,2,1.5,1.2,1.2
Clemon Johnson,83.4,4.3,4,3.7,3.5,2.2,2,2,1.7,1.2,0.9,NA
Benoit Benjamin,83.1,5.4,5.1,4.1,4,3,2.3,2.2,2.2,2,1.1,0.9
Zaza Pachulia,82.9,5,4.8,3.9,3.9,3.1,2.9,2.7,2.7,1.7,1.1,0.3
Leroy Ellis,79.6,6.4,4.7,3.8,3.6,3.2,2.8,2.5,2.3,2.3,2.1,1.6
Coby Dietrick,79.5,4.5,4.4,4.1,3,2.9,2.5,2.3,2.1,0.3,0.1,0
Herb Williams,79.5,6.2,4.7,4.6,3.5,2.8,2.2,2.2,1.8,1.7,1.4,0.8
