Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Chris Crawford,,2.7,1.3,0.9,0.6,0.6,0.2,0.1
Ike Diogu,86.8,2.6,1.5,1,0.7,0.7,0,NA
Charles Shackleford,86.2,2.7,1.5,0.9,0.8,0.8,0.7,NA
George Lee,81.6,2.6,1.7,1.2,0.6,0.4,0.1,-0.1
Rory White,81.1,2.6,1.5,1,1,0.4,NA,NA
Lou Amundson,80.0,2.9,1.8,1,0.6,0.1,0.1,0.1
Jeff Ayres,78.9,2.4,1.3,1.2,1,0.3,0.2,NA
Lorenzo Williams,78.0,3.1,1.7,1.1,0.4,0.4,0.3,0.3
Mark Strickland,77.6,2.8,2.2,1,0.6,0.5,0,0
Pete Verhoeven,77.0,2.1,1.2,0.8,0.7,0.4,0,NA
Charles Davis,75.9,2.1,1.5,1,0.9,0.5,0.3,-0.3
