Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Chris Crawford,,2.7,1.3,0.9,0.6,0.6,0.2,0.1,NA,NA,NA
Ike Diogu,86.8,2.6,1.5,1,0.7,0.7,0,NA,NA,NA,NA
Charles Shackleford,86.2,2.7,1.5,0.9,0.8,0.8,0.7,NA,NA,NA,NA
Lou Amundson,82.3,2.9,1.8,1,0.6,0.3,0.1,0.1,0.1,0.1,-0.1
George Lee,81.6,2.6,1.7,1.2,0.6,0.4,0.1,-0.1,NA,NA,NA
Rory White,81.1,2.6,1.5,1,1,0.4,NA,NA,NA,NA,NA
Jeff Ayres,78.9,2.4,1.3,1.2,1,0.3,0.2,NA,NA,NA,NA
Lorenzo Williams,78.0,3.1,1.7,1.1,0.4,0.4,0.3,0.3,NA,NA,NA
Mark Strickland,77.9,2.8,2.2,1,0.6,0.5,0,0,0,NA,NA
Pete Verhoeven,77.0,2.1,1.2,0.8,0.7,0.4,0,NA,NA,NA,NA
Sam Young,75.7,2.9,1.2,0.9,0.2,NA,NA,NA,NA,NA,NA
