Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Terence Stansbury,,1.5,0.6,0.3,NA,NA
Vonteego Cummings,86.0,1.3,0.6,0.2,NA,NA
Ray McCallum,85.4,1.4,0.4,0.3,NA,NA
Treveon Graham,83.8,1.8,0.5,0.4,NA,NA
Patrick McCaw,83.2,1.7,0.6,0.5,NA,NA
Jerry Rullo,79.5,1.5,0.6,0,-0.1,NA
Mike Flynn,78.9,1.7,0.8,0.3,NA,NA
Trajan Langdon,78.7,2,0.6,0.3,NA,NA
Bobby Washington,78.5,1.5,0.7,0,NA,NA
Jordan Hamilton,75.9,1.6,0.8,0.3,0.2,0.1
Bubbles Hawkins,75.3,1.9,0.6,0.3,0.1,NA
