Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1955-56,22,TOT,NBA,SG,54,578,7.5,0.366,0.3,NA,NA,NA,NA,NA,-1.1,0.5,-0.6,-0.046
1955-56,22,PHW,NBA,SG,12,82,8.4,0.385,0.343,NA,NA,NA,NA,NA,-0.1,0.1,0,-0.017
1955-56,22,STL,NBA,SG,42,496,7.4,0.364,0.294,NA,NA,NA,NA,NA,-1,0.5,-0.5,-0.051
1956-57,23,SYR,NBA,SG,11,167,5.2,0.342,0.197,NA,NA,NA,NA,NA,-0.3,0.1,-0.2,-0.055
Career,NA,,NBA,,65,745,7,0.362,0.28,NA,NA,NA,NA,NA,-1.4,0.6,-0.7,-0.048
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,STL,NBA,,42,496,7.4,0.364,0.294,NA,NA,NA,NA,NA,-1,0.5,-0.5,-0.051
1 season,NA,PHW,NBA,,12,82,8.4,0.385,0.343,NA,NA,NA,NA,NA,-0.1,0.1,0,-0.017
1 season,NA,SYR,NBA,,11,167,5.2,0.342,0.197,NA,NA,NA,NA,NA,-0.3,0.1,-0.2,-0.055
