,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2015-16,19,MIL,NBA,SG,70,1001,,45%,49%,6%,,-6.2,-2.9,13,9,40,2,7,3,84,1,25
2016-17,20,MIL,NBA,SG,41,458,1%,85%,15%,,,-7.5,-8.6,6,5,17,0,2,0,50,0,4
2017-18,21,TOT,NBA,SG,28,212,4%,75%,22%,,,-2.6,+0.4,4,1,9,0,3,0,30,0,2
2017-18,21,MIL,NBA,SG,22,173,4%,72%,24%,,,-1.7,-1.7,2,1,6,0,3,0,28,0,2
2017-18,21,BRK,NBA,SG,1,4,,100%,,,,+57.1,+61.1,0,0,1,0,0,0,2,0,0
2017-18,21,ORL,NBA,SG,5,35,2%,83%,16%,,,-13.2,-8.3,2,0,2,0,0,0,0,0,0
Career,,,NBA,,139,1671,1%,59%,36%,4%,,-6.1,-4.0,23,15,66,2,12,3,164,1,31
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIL,NBA,,133,1632,1%,59%,37%,4%,,-6.1,-4.3,21,15,63,2,12,3,162,1,31
1 season,,ORL,NBA,,5,35,2%,83%,16%,,,-13.2,-8.3,2,0,2,0,0,0,0,0,0
1 season,,BRK,NBA,,1,4,,100%,,,,+57.1,+61.1,0,0,1,0,0,0,2,0,0
