,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,23,NYK,NBA,,7,16,7,7,,,11,6,,,,21
1969-70,24,NYK,NBA,,4,,5,6,,,,,,,,11
1970-71,25,BUF,NBA,,16,,12,13,,,,,,,,40
1971-72,26,ATL,NBA,,13,,9,11,,,,,,,,28
1972-73,27,TOT,NBA,,11,,8,8,,,,,,,,24
1972-73,27,ATL,NBA,,6,,3,4,,,,,,,,14
1972-73,27,PHI,NBA,,11,,8,8,,,,,,,,24
1973-74,28,PHI,NBA,,9,,10,11,,,,,,,,28
1974-75,29,KCO,NBA,,5,,3,4,,,,,,,,12
Career,,,,,16,,12,13,,,,,,,,40
2 Seasons,,ATL,NBA,,13,,9,11,,,,,,,,28
2 Seasons,,NYK,NBA,,7,,7,7,,,,,,,,21
2 Seasons,,PHI,NBA,,11,,10,11,,,,,,,,28
1 Season,,BUF,NBA,,16,,12,13,,,,,,,,40
1 Season,,KCO,NBA,,5,,3,4,,,,,,,,12
