Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Don May,,6.1,2.9,1.3,0.5,0.3,0.2,0,NA,NA
Kevon Looney,88.4,6,2.8,1.4,0.1,NA,NA,NA,NA,NA
Landry Fields,83.3,5.3,3.4,1.1,0.4,0.3,NA,NA,NA,NA
Dario Šarić,80.8,6.6,3.5,1,NA,NA,NA,NA,NA,NA
Travis Grant,79.9,5.6,4.1,1.5,0.5,NA,NA,NA,NA,NA
Larry Stewart,79.6,4.7,2.9,1.6,0.5,0.1,NA,NA,NA,NA
Wah Wah Jones,76.2,5.9,2.1,0.8,NA,NA,NA,NA,NA,NA
Don MacLean,75.7,5.6,1.5,1.1,0.5,0.4,0.2,0.2,0,-0.2
Sam Smith,73.8,4.6,3.3,1.4,0.2,NA,NA,NA,NA,NA
Jaylen Brown,72.1,4.5,3,1.5,NA,NA,NA,NA,NA,NA
Neil Johnson,72.1,6.3,2.5,2.2,1.9,0.2,-0.2,-0.3,NA,NA
