Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1972-73,24,SDA,ABA,SG,47,425,4.3,0.423,0.061,0.445,8.9,10,9.4,12.2,NA,NA,24.6,23.2,NA,-0.7,0.5,-0.1,-0.016
Career,NA,,ABA,,47,425,4.3,0.423,0.061,0.445,8.9,10,9.4,12.2,NA,NA,24.6,23.2,NA,-0.7,0.5,-0.1,-0.016
