Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,24,SDA,ABA,SG,2,NA,8,2,4.5,0.444,1,1.5,0.667,1,3,0.333,0.556,0,1,0,2,1,3,0.5,NA,NA,1,0,5
Career,NA,,ABA,,2,NA,8,2,4.5,0.444,1,1.5,0.667,1,3,0.333,0.556,0,1,0,2,1,3,0.5,NA,NA,1,0,5
