Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Hank McDowell,,0.7,0.4,0.4,0.2,0.2,0.1
Obinna Ekezie,79.9,0.7,0.5,0.4,0.2,NA,NA
Bill Curley,69.2,0.7,0.5,0.2,0.2,0,NA
Jerrod Mustaf,67.8,0.8,0.5,0.4,0,NA,NA
Michael Smith,64.1,0.7,0.3,0.3,NA,NA,NA
Jamal Sampson,62.7,0.5,0.4,0.2,0.2,0,NA
Troy Williams,61.9,0.5,0.4,0.4,NA,NA,NA
Maceo Baston,61.2,1.1,0.5,0.4,0.3,NA,NA
Randy White,60.1,0.8,0.7,0.4,0.2,-0.2,NA
Eddie Lee Wilkins,60.1,0.8,0.8,0.5,0.3,0.3,-0.1
Mark Hendrickson,58.9,0.9,0.8,0.3,0.1,NA,NA
