Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Mike Smrek,,0.4,0.4,0.1,0,0,-0.1,-0.2,NA
Olumide Oyedeji,53.4,0.4,0.4,0.3,NA,NA,NA,NA,NA
Shawnelle Scott,47.8,0.5,0.4,0.2,0.2,NA,NA,NA,NA
Dave Feitl,43.3,0.5,0.4,0.3,0.2,0.1,NA,NA,NA
Jabari Smith,40.2,0.7,0.5,0.2,0,NA,NA,NA,NA
Daniel Orton,39.5,0.5,0.3,0.3,NA,NA,NA,NA,NA
Hamed Haddadi,32.5,0.6,0.6,0.4,0.1,0,NA,NA,NA
Alan Ogg,28.1,0.5,0.3,0,NA,NA,NA,NA,NA
Dwayne Schintzius,22.3,0.4,0.3,0.2,0.2,0.1,0,-0.1,-0.2
Mamadou N'Diaye,20.9,0.8,0.6,0.3,0.2,0,NA,NA,NA
Kyrylo Fesenko,20.7,0.6,0.3,0.1,0,-0.1,NA,NA,NA
