Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1963-64,25,BAL,NBA,SF,78,NA,1148,6.4,15.2,0.419,2.6,4.6,0.562,NA,NA,9.7,1.8,NA,NA,3.9,15.3
1964-65,26,DET,NBA,SF,65,NA,836,7.8,17.9,0.433,2.7,4.2,0.633,NA,NA,10.5,2.7,NA,NA,5,18.2
1965-66,27,DET,NBA,SF,60,NA,783,8.4,20.2,0.415,3.5,6.5,0.539,NA,NA,12,1.9,NA,NA,4.3,20.2
1966-67,28,CHI,NBA,SF,78,NA,1655,7.2,16.8,0.426,2.9,4.8,0.604,NA,NA,10.4,1.5,NA,NA,4.4,17.2
1967-68,29,SDR,NBA,SF,69,NA,2548,7.5,16.8,0.446,4.2,5.8,0.726,NA,NA,10,2.5,NA,NA,3.7,19.2
1968-69,30,SDR,NBA,SF,81,NA,3130,7.9,18.2,0.434,5.1,6.9,0.748,NA,NA,8.9,2.5,NA,NA,3.5,20.9
1969-70,31,SDR,NBA,SF,56,NA,1578,7.7,17.2,0.447,4.1,5.5,0.751,NA,NA,8.9,1.8,NA,NA,3.1,19.6
1970-71,32,SEA,NBA,SF,79,NA,2143,7.6,17.1,0.446,4.2,5.4,0.778,NA,NA,7.3,2.2,NA,NA,3.7,19.4
1971-72,33,SEA,NBA,SF,73,NA,1857,6.2,13.3,0.469,3.6,4.6,0.793,NA,NA,6.5,1.6,NA,NA,3.3,16.1
1972-73,34,KCO,NBA,SF,77,NA,1240,8,16.7,0.48,3.1,4,0.774,NA,NA,5.7,2.3,NA,NA,3.7,19.1
1973-74,35,KCO,NBA,SF,77,NA,2091,6.9,14.4,0.478,3.6,4.7,0.772,2.2,4.4,6.6,1.9,1.3,0.3,2.7,17.4
1974-75,36,KCO,NBA,SF,21,NA,232,7.1,15.2,0.469,3.1,4.7,0.667,2.2,3.9,6.1,1.6,1.9,0.2,4.8,17.4
Career,NA,,NBA,,814,NA,19241,7.4,16.6,0.446,3.8,5.3,0.72,2.2,4.4,8.5,2.1,1.4,0.2,3.6,18.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,SDR,NBA,,206,NA,7256,7.7,17.5,0.441,4.6,6.2,0.742,NA,NA,9.3,2.3,NA,NA,3.5,20
3 seasons,NA,KCO,NBA,,175,NA,3563,7.3,15.2,0.478,3.4,4.4,0.765,2.2,4.4,6.3,2,1.4,0.2,3.2,18
2 seasons,NA,SEA,NBA,,152,NA,4000,7,15.3,0.455,3.9,5,0.785,NA,NA,6.9,1.9,NA,NA,3.5,17.9
2 seasons,NA,DET,NBA,,125,NA,1619,8,19,0.423,3.1,5.3,0.577,NA,NA,11.2,2.3,NA,NA,4.6,19.2
1 season,NA,CHI,NBA,,78,NA,1655,7.2,16.8,0.426,2.9,4.8,0.604,NA,NA,10.4,1.5,NA,NA,4.4,17.2
1 season,NA,BAL,NBA,,78,NA,1148,6.4,15.2,0.419,2.6,4.6,0.562,NA,NA,9.7,1.8,NA,NA,3.9,15.3
