Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1963-64,25,BAL,NBA,SF,78,NA,1148,203,484,0.419,82,146,0.562,NA,NA,309,57,NA,NA,123,488
1964-65,26,DET,NBA,SF,65,NA,836,180,416,0.433,62,98,0.633,NA,NA,243,63,NA,NA,115,422
1965-66,27,DET,NBA,SF,60,NA,783,182,439,0.415,76,141,0.539,NA,NA,260,42,NA,NA,94,440
1966-67,28,CHI,NBA,SF,78,NA,1655,329,773,0.426,134,222,0.604,NA,NA,479,70,NA,NA,204,792
1967-68,29,SDR,NBA,SF,69,NA,2548,530,1189,0.446,300,413,0.726,NA,NA,710,176,NA,NA,259,1360
1968-69,30,SDR,NBA,SF,81,NA,3130,687,1582,0.434,446,596,0.748,NA,NA,776,214,NA,NA,303,1820
1969-70,31,SDR,NBA,SF,56,NA,1578,338,756,0.447,181,241,0.751,NA,NA,388,78,NA,NA,135,857
1970-71,32,SEA,NBA,SF,79,NA,2143,454,1018,0.446,249,320,0.778,NA,NA,435,130,NA,NA,220,1157
1971-72,33,SEA,NBA,SF,73,NA,1857,322,687,0.469,188,237,0.793,NA,NA,335,82,NA,NA,168,832
1972-73,34,KCO,NBA,SF,77,NA,1240,276,575,0.48,106,137,0.774,NA,NA,198,80,NA,NA,128,658
1973-74,35,KCO,NBA,SF,77,NA,2091,400,836,0.478,210,272,0.772,126,257,383,110,77,15,157,1010
1974-75,36,KCO,NBA,SF,21,NA,232,46,98,0.469,20,30,0.667,14,25,39,10,12,1,31,112
Career,NA,,NBA,,814,NA,19241,3947,8853,0.446,2054,2853,0.72,140,282,4555,1112,89,16,1937,9948
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,SDR,NBA,,206,NA,7256,1555,3527,0.441,927,1250,0.742,NA,NA,1874,468,NA,NA,697,4037
3 seasons,NA,KCO,NBA,,175,NA,3563,722,1509,0.478,336,439,0.765,140,282,620,200,89,16,316,1780
2 seasons,NA,SEA,NBA,,152,NA,4000,776,1705,0.455,437,557,0.785,NA,NA,770,212,NA,NA,388,1989
2 seasons,NA,DET,NBA,,125,NA,1619,362,855,0.423,138,239,0.577,NA,NA,503,105,NA,NA,209,862
1 season,NA,CHI,NBA,,78,NA,1655,329,773,0.426,134,222,0.604,NA,NA,479,70,NA,NA,204,792
1 season,NA,BAL,NBA,,78,NA,1148,203,484,0.419,82,146,0.562,NA,NA,309,57,NA,NA,123,488
