Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,28,CHI,NBA,SF,3,NA,104,8,16.6,0.479,1.7,2.8,0.625,NA,NA,10.4,1.4,NA,NA,3.5,17.7
1968-69,30,SDR,NBA,SF,6,NA,232,7.4,16.9,0.44,3.9,4.8,0.806,NA,NA,7.9,3.3,NA,NA,3.4,18.8
1974-75,36,KCO,NBA,SF,4,NA,22,1.6,9.8,0.167,8.2,9.8,0.833,1.6,4.9,6.5,1.6,1.6,0,4.9,11.5
Career,NA,,NBA,,13,NA,358,7.2,16.4,0.442,3.5,4.5,0.778,1.6,4.9,8.5,2.6,1.6,0,3.5,18
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,SDR,NBA,,6,NA,232,7.4,16.9,0.44,3.9,4.8,0.806,NA,NA,7.9,3.3,NA,NA,3.4,18.8
1 season,NA,KCO,NBA,,4,NA,22,1.6,9.8,0.167,8.2,9.8,0.833,1.6,4.9,6.5,1.6,1.6,0,4.9,11.5
1 season,NA,CHI,NBA,,3,NA,104,8,16.6,0.479,1.7,2.8,0.625,NA,NA,10.4,1.4,NA,NA,3.5,17.7
