Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,35,KCO,NBA,SF,77,NA,2091,8.7,18.1,0.478,4.5,5.9,0.772,2.7,5.6,8.3,2.4,1.7,0.3,3.4,21.9,NA,NA,101
1974-75,36,KCO,NBA,SF,21,NA,232,9.1,19.4,0.469,4,5.9,0.667,2.8,5,7.7,2,2.4,0.2,6.1,22.2,NA,NA,97
Career,NA,,NBA,,98,NA,2323,8.7,18.2,0.446,4.5,5.9,0.72,2.7,5.5,8.2,2.3,1.7,0.3,3.7,21.9,NA,NA,100
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,KCO,NBA,,98,NA,2323,8.7,18.2,0.478,4.5,5.9,0.765,2.7,5.5,8.2,2.3,1.7,0.3,3.7,21.9,NA,NA,100
1 season,NA,CHI,NBA,,0,NA,0,NA,NA,0.426,NA,NA,0.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,DET,NBA,,0,NA,0,NA,NA,0.423,NA,NA,0.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,SDR,NBA,,0,NA,0,NA,NA,0.441,NA,NA,0.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,SEA,NBA,,0,NA,0,NA,NA,0.455,NA,NA,0.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,BAL,NBA,,0,NA,0,NA,NA,0.419,NA,NA,0.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
